Org Comment,ISBN,Title,Author,Edition,Copyright,Publisher
DOC done,9780534643836,"The Sambia: Ritual, Sexuality and change in Papua","Herdt, Gilbert",2nd,2006,Thomson Wadsworth
Master PDF,9780534647186,Mass Media Research: An Introduction,"Wimmer, Roger D.",8th,2005,Wadsworth Publishing
"Master RTF, DOC done",9780536138804,INSIGHTS :READINGS IN SOCIAL...(CUSTOM),Abalakina,1st,2006,Pearson
PDF unedited,9780536212436,Business Student Guide,"Carr-Ruffino, Norma",Custom,2006,Pearson
DOC,9780536423320,Among Nations,"Ellis, burcu",,2007,Pearson Custom
Master PDF,9780536435538,Composing for Success,Baldwin et als.,Prelim,2007,Pearson Custom
DOC,9780536126023,Managing Diversity,Norma Carr-Ruffino,7th,2005,Pearson Custom
"Some missing Chs, FM, EM (DOC)",9780536837233,Microsoft Office Excel and Access 2003,,,,Pearson Education
PDF,9780132330770,Exploring Office Excel 2007 Comprehensive SFSU Cus,,,2008,Prentice Hall
"Master DOC, DOC done",9780553213409,Federalist Papers,"Hamilton, Madison & Jay",Paper,2003,Bantam Dell
"Master DOC, TXT",9780553213652,The Bhagavad-Gita : Krishna's Counsel in Time of,"Miller, Barbara Stoler",,1986,Bantam Classics
Book DNE,9780553379921,CARING FOR YOUR SCHOOL AGE CHILD,AMERICANACADEMY OFPEDIATRICSSTAFF,,1999,Random House
"Missing Chs, FM, EM (DOC & TIF)",9780553379969,CARING FOR YOUR TEENAGER,AMERICANACADEMY OFPEDIATRICSSTAFF,,2003,Random House
"Some missing Chs, FM, EM (DOC)",9780553382907,CARING FOR YOUR BABY and YOUNG CHILD,AMER ACAD PED,,2005,Random House
"Master DOC, DOC",9780571198771,Wit : A Play,"Edson, Margaret",1st,1999,Faber & Faber
Book DNE,9780582418752,Japan in Transformation 1952-2000,Jeffrey Kingston,1,2001,Pearson Education Limited
DOC,9780582642645,Lonely Londoners,"Selvon, Sam",27th,2007,Longman Publishing Group
Master PDF,9780596102173,"Process Improvement Essentials: CMMI, Six Sigma","Persse, James",,2006,"O'Reilly Media, Inc."
DOC,9780609802861,COMPLETE BOOK OF AYURVEDIC HOME REMEDIES,Lad,Reprint,1999,Random
PDF,9780618206742,CRITICAL APPROACHES TO TELEVISION (P),VANDEBERG,2nd,2003,Houghton Mifflin
"Master PDF, PDF, DOC",9780618427789,American Government: Brief Version,"Wilson, James Q.",7th,2004,Houghton Mifflin Company
DOC,9780618439881,DEVELOPMENTAL COUNSELING and THERAPY (P),Ivey,,2005,Houghton
This is 10th edition.  8th and 9th also included. -AG,9781111008284,Challenge of Democracy,"Janda, Berry, Goldman",8th,2005,Houghton Mifflin
Book DNE,9780631213468,Course in Phonology,Roca and Johnson,,1999,Blackwell Publishing
"Master DOC, DOC, TXT",9780631226543,The Nietzsche Reader,"Pearson, Keith Ansell",,2006,Wiley-Blackwell
DOC,9780669200201,The Making of Modern Japan,Kenneth B. Pyle,2,1996,Heath and Company
"DOC, RTF, PDF",9780671023379,Man's Search for Meaning,VIKTOR E. Frankl,,1985,POCKET BOOKS
"Master DOC, DOC",9780671042554,Blackbird,"Lauck, Jennifer",,2000,Pocket Books - Simon & Schuster
"DOC, RTF",9780671765378,The Therapeutic Touch,Krieger,,1992,Simon and Schuster
"Master DOC, DOC",9780674016736,New Gay Teenager,Ritch Savin-Williams,,2005,Harvard University Press
"Master DOC, DOC",9780674018563,Dilemmas of Desire,Debora Tolman,pbk,2002,First Harvard University
"Master DOC, DOC",9780674022294,Walter Benjamin: Selected Writings,"Benjamin, Walter",,2006,Belknap Press
"Master DOC, RTF, PDF/ DOC",9780674026247,Sexual Fluidity: Understanding Women's,Lisa M. Diamond,,2008,Harvard University Press
"Incomplete, separted by Weeks, not chapters",9780674487765,Judaism Human Values and The Jewish State,Leibowitz,,,
"Master TIF, DOC, PDF",9780679723127,Gideon's Trumpet,"Lewis, A.",Reissue,2005,Vintage - Random House
"Master TIF, DOC/ DOC",9780679724698,The History of Sexuality Volume I,Foucault,Paperback,1978,Vintage; Reissue edition
Master DOC/DOC,9780679741893,In the Realm of a Dying Emperor,Norma Field,1,1993,First Vintage Books
DOC,9780679751755,Texaco,Chamoiseau,,,"Vintage Books (Random House, Inc.)"
No Course Listed,9780679776659,USA WEATHER BOOK (REV and UPDATED),WILLIAMS,2,1997,Vintage
"DOC, PDF; TXT incomplete",9780691094779,Rice as Self,Emiko Ohnuki-Tierney,3,1993,Princeton University Press
"DOC, PDF",9780691088433,Free Trade Under Fire,"Irwin, Douglas A.",,2002,Princeton University Press
"Master DOC, KES and PDF; DOCS (some chapters missing) FYI: Course listed below SS105 SP09 book is not the correct book listed for this ISBN. Totally different books.",9780716755159,"Race, class and Gender in the United States",Rothenberg,6th,2004,VHPS
"DOC (some chapters missing), Audio (a lot missing)",9780721603384,Pathophysiology,Lee-Ellen C. Copstead & Jacuelyn L. Banaski,3rd,2005,Elsevier Saunders
DOC (a lot of chapters appear to be missing) FYI: NURS315 DNE in SP09,9780721698434,Pharmacology for Nursing Care,Richard. A Lehne,5th,2004,Evolve
DOC,9780727912084,Randomised Controlled Trials,Jadad,,1998,
"Master PDF, DOC; DOC",9780742500259,Contemporary Controversies and the American Racial,Robers C. Smith and Richard Seltzer,,2000,"Rowman & Littlefield Publishers, Inc"
"Master PDF, DOC; DOC",9780742509894,Japan's Past Japan's Future,Ienaga Saburo,1,2001,"Rowman & Littlefield Publisher's, Inc."
"DOC, PDF, TXT",9780742554139,Rowman and Littlefield Guide to Writing with Sources,James P. Davis,,2007,Rowman & Littlefield
DOC (incomplete),9780743270359,The Israelis: ordinary people in an extraordinary land,Donna Rosenthal,,,
Master DOC; DOC,9780743249041,The Body,Kureishi,,2002,Scribner
DOC,9780743256117,"Our Bodies, Ourselves: New Edfor new Era",Boston Women,,2005,Simon & schuster
Master DOC; DOC,9780757502613,"Family, Kin And Community",Bernard P. Wong,Custom,2001,Kendall Hunt Pub Co
TIF,9780787294199,Severe and Hazardous Weather,Rauber,Bk&CD-Rom,2002,Kendall
Course DNE,9780761916765,Introduction to Action Research,Greenwood,,1998,Sage Publsiher
"Master DOC, TXT; DOC (incomplete)",9780761920038,Black Children,McAdoo,2nd,2002,Sage Publications
"Master PDF, TXT; DOC (incomplete)",9780761920755,Qualitative Interviewing (P),Rubin,2,2005,Sage
"Master PDF; PDF, KES",9780761929949,The Politics of Injustice: Crime and Punishment,"Beckett, Katherine A.",2nd,2003,"Sage Publications, Inc"
"Master PDF, DOC; DOC",9780761941996,Essential guide to doing research,O'Leary Zina,1st,,Sage Publications Ltd
"DOC, RTF",9780763731663,Medical and Psychosocial Aspects of Chronic,Donna Falvo,3rd,2005,Jones and Bartlett
No course listed,9780764539831,CSET Multiple Subjects,Jerry Bobrow & Stephen Fisher,,2003,"Wiley Publishing, Inc."
"Audio, DOC",9780765605153,Politics and Society in Modern Israel,,,,
Master DOC; DOC,9780765607676,The Emptiness of Japanese Affluence,Gavan McCormack,1,2001,East Gate
Book DNE,9780765612854,Chinese Foreign Policy: Pragmatism and Strategic,"Zhao, Suisheng",1st,2003,East Gate Book
"DOC, TXT",9780767902892,The Things They Carried,Tim O'brien,PAPER,1990,Houghton Mifflin
Master DOC; DOC incomplete,9780789015334,LEISURE ENHANCEMENT,"Michael J. Leitner, Sara F. Leitner",3rd,2004,Haworth Press
DOC (incomplete),9780791424384,Racism in the Post Civil Rights Era,Smith,,1996,State University of New York Press
Master DOC; DOC,9780791431368,We Have No Leaders,Smith,,1996,State University of New York Press
"Master DOC, RTF, TXT; DOC",9780791437919,The Culture of Japan as Seen Through its Leisure,Sepp Linhart & Sabine Fruhstuck,2,1998,State University of New York
"DOC, PDF, TXT",9780801112898,PROGRAM GUIDE F/STUDENTS VISUALLY IMPAIRED,CSDE,,1997,
Master DOC; DOC,9780801423338,Crested Kimono,Matthews Masayuki Hamabata,1,1990,Cornell University Press
Book DNE,9780802130822,Mother Courage,Brecht,,,
DOC,9780803263765,School Days,Patrick Chamoiseau,,1997,University of Nebraska Press
Course DNE,9780803952126,Conducting Needs Assessments: A Multidisciplinary,"Soriano, Fernando",,1995,"Sage Publications, Inc"
Book DNE,9780804747479,Zohar Volume 1,"Matt, Daniel",,2004,Stanford University Press
DOC done,9780804753630,New Directions in the Study of China's Foreign Pol,"Johnston, Alastair Iain",1st,,Stanford University Press
DOC done,9780805083231,"Empire's Workshop: Latin America, the United State",Greg Grandin,,2007,Holt Paperbacks
Missing FM & EM (DOC),9780805210422,Major Trends in Jewish Mysticism,Scholem,,,
DOC done,9780805210552,The Complete Stories,"Kafka, Franz",,1995,Schocken
DOC done,9780805328523,Health: Basics,Donatelle,6,2005,Pearson
Chs missing (DOC),9780805372014,Human Biology: Concepts and Current Issues with,"Johnson, Michael D.",3rd,2005,Benjamin Cummings
FM missing (DOC); Master PDF,9780806125169,The Third Wave,"Huntington, Samuel P.",,1993,University of Oklahoma Press
EM missing (DOC),9780807012390,The Miracle of Mindfulness,Hanh,2nd,1999,VHPS
DOC done,9780807029275,The Man with the Beautiful Voice,Lillian Rubin,Paper,2004,Beacon Press
Master DOC,9780807031452,The Real Ebonics Debate,Theresa Perry,Paper,1998,Beacon Press
EM missing (DOC),9780807610664,Second Class Citizen,"Emechita, Buchi",Paper,1975,"George Braziller, Inc"
"DOC, MP3, & PDF done",9780807731796,Ethics of Special Education,"Howe, Kenneth R.",,1992,Teachers College Press
DOC done,9780807743812,City Schools and the American Dream,"Noguera, Pedro",Paper,2003,Teachers College Press
DOC done,9780808799559,Fog City Fundamentals,English Dept,,1998,Burgess
DOC done,9780809016341,Changes in the Land,"Cronon, William",Revised,2003,Macmillan Hill and Wang
Only body is there (DOC & RTF),9780811213127,Patriotism,Mishima,,1995,New Directions Publishing
"DOC, PDF, TIF, & TXT done",9780812924121,No Pity,Shapiro,1,1994,Three Rivers Press
DOC done,9780813368474,The United Nations in the Post-Cold War Era,"Mingst, Karen A.",2nd,2000,Westview Press
Course DNE,9780813534749,Community Organizing and Community Building,,2nd,,
FM missing (DOC),9780814716533,Virginity Lost,"Carpenter, Laura M.",Paper,2005,New York University Press
EM missing (DOC),9780816038237,"Field Guide to Geology, The","Lambert, David",Revised,1997,Checkmark Books
DOC done,9780816630158,Disidentifications: Queers of Color?,"Munoz, Jose Esteban",paper,1999,University of Minnesota Press
DOC done,9780816640065,Harmful to Minors - Perils of Protecting Children,"Levine, Judith",Paper,2002,University of Minnesota Press
DOC done,9780816641178,The Artificial Kingdom: On the Kitsch Experience,"Olalquiaga, Celeste",,2002,University of Minnesota Press
Only part of book there (DOC),9780817302238,Strange Texts: The Role of Theory in the Study of,"Gregory S. Jay, David L. Miller",,,Univ of Alabama
Course DNE,9780822020431,Cliff's Writing Proficiency Exams Prep Guide,Bobrow & Orton,Paper,1990,Cliff's Notes
DOC done,9780822322436,Female Masculinity,Judith Halberstam,,1998,Duke University Press
DOC done,9780824817756,Women Media and Consumption in Japan,Lise Skov & Brian Moeran,1,1995,University of Hawaii Press
Book already there,9780826123848,Counseling Theories and Technique for Rehab,"Fong Chan, Norm Berven, Ken Thomas",20,,Springer Publishing
Master DOC,9780826514578,Becoming a Visible Man,Jamison Green,,,
Master PDF,9780534648343,Interviewing in Health and Human Services,Samantrai,,2004,Wadsworth
TIF & TXT done,9780844401904,An introduction to Braille Mathematics,"Roberts, H",,1978,Library of Congress 9NLS)
DOC done,9780847688616,The First R: How Children Learn Race and Racism,"Van Ausdale, Debra",,2000,"Rowman & Littlefield Publishers, Inc."
DOC done,9780865714212,Stormy Weather,Dauncey,,2001,New Society Publishers
Master DOC,9780875844152,Inside the Kaisha: Demystifying Japanese Business,Yoshimura & Anderson,,1997,Harvard Business School Press
Book DNE,9780875844404,Managing With Power,Jeffrey Pfeffer,1st,1994,Harvard Business School Press
DOC done,9780877724209,"Governing California: Politics, Government,",Lubenow & Cain,2,2006,Institute of Governmental Studies Press Unive
DOC done,9780877723288,Racial and Ethnic Politics in California,"Preston, Cain & Bass",vol 2,1998,Univ of California Inst
Only first 3 Chs incl (DOC),9780883782767,Seeking the Sakhu,Nobles,,2006,Third World Press
DOC done,9780890420270,Desk Reference to the Diagnotic Criteria DSM-IV,APA,7th,2004,APA
Master PDF; DOC & TXT done,9781557667366,Early Intervention,Kristie Pretti-Frontczak,3,2004,Paul H. Brookes Publishing Co
DOC done,9780890799109,Work and Disability,"Szymanski, Edna Mora",2nd,2003,Pro-Ed
DOC done; partial MP3,9780890799871,Rehabilitation Counseling,Parker,4th,2005,Pro-Ed
Course DNE,0891060703X,Strong Interest Inventory: HANDOUT,Lenore W Horman,,,CPP
DOC done,9780891283409,"Foundations of Education, Vol. 1, 2nd Edition",Holbrook and Koenig,2nd,2000,Amer Foundation for the Blind
"TXT, MP3",9780891283461,Looking to Learn: Promoting Literacy,Frances Mary D'Andrea,Paper,2000,Amer Foundation for the Blind
DOC & TXT done,9780891288695,Collaborative Assessment,"Goodman, Stephen",Paper,2003,AFB Press
DOC done; Master TXT,9780891288787,Itinerant Teaching: Tricks of the Trade for Teache,"Olmstead, Jean E.",2,1995,AFB Press
DOC done (old ed); PDF (new ed),9780891289418,Foundations of Low Vision: Clinical and Functional,"Anne Lesley Corn,  Alan J. Koenig",,1996,AFB Press
Incomplete book (DOC),9780891289463,Foundations of Orientation and Mobility,Welsh,2nd,1997,Amer Foundation for the Blind
DOC done,9780898621990,Psychoanalytic Diagnosis: Understanding,Nancy McWilliams,,1994,The Guilford Press
DOC (missing some contents),9780910251884,SOCIAL PSYCHOLOGY OF LEISURE,MANNELL,,1997,Venture Publishing
Master DOC,9780910251921,Leisure and Leisure Services in the 21st Century,Godbey,,1997,"Venture Publishing, Inc."
DOC done,9780915811885,Guided Imagery for Self Healing,Rossman,2nd,2000,New World Library
"Master PDF; DOC, TIF",9780926544284,"UPPERS, DOWNERS, ALL AROUNDERS",Inaba,6,2007,CNS
DOC done,9780930588892,The Heart Is Fire,"Dozier, Deborah",Paper,1998,Heyday Books
"Master DOC, TXT, PDF; DOC",9780937404683,Dictionary of Eye Terminology,"Barbara Cassin, Melvin L. Rubin",5,2006,Triad Publishing Company
Master DOC; DOC,9780940322219,Jakob von Gunten,"Walser, Robert",,1999,NYRB Classics
Book DNE,9780941355711,Math Matters,Suzanne H. Chapin,2,2006,Math Solutions Pubns
"Master DOC, PDF; DOC",9780941355773,"Math For All: Differentiating Instruction, Gr K-2","Dacey, Linda",1st,2007,Math Solutions Publications
Master PDF,9780941355780,Math For All Differentiating Instruction Grades 3-,"Dacey, Linda",1st,2007,Math Solutions Publications
Course DNE,9780944613252,Introduction to Hindi Grammar,"Jain, Usha R.",,1995,IAS Publishing
"Master DOC, PDF; DOC",9780965717007,Classroom Collaboration,Hudson,1st,1997,Perkins
"Master DOC, PDF, TXT; DOC",9780966707106,The Deliberate Dumbing Down of Amerca,"Iserbyt, Charlotte Thomson",,1999,"Conscience Press
Conscience Press"
"Master DOC; DOC, KES",9780967846071,"Broederbond Conspiracy, The","Onyeani, Chika",paper,2006,Timbuktu Publishers
DOC,9780971703605,The Impact of Awakening,Adyashanti,2nd,2002,Open Gate Publishing
Book DNE,9780977849703,The Work System Method: Connecting People,"Alter, Steven",,2006,Work System Press
"DOC, PDF",9780132409032,Substance Abuse Counseling: Theory and Practice,Patricia Stevens,4th,2008,Prentice Hall
Master DOC; DOC,9781400032716,"Curious Incident of the Dog in the Nighttime, The","Hadden, Mark",Paper,2004,Vintage
DOC,9781400033430,Sula,Toni Morrison,,2004,Vintage (Random House)
"Master DOC, PDF, TXT",9781400042425,Maps for Lost Lovers,Aslam,1st,2004,Random House(Alfred A. Knopf)
"TIF, DOC, PDF",9780060975920,Bone,"Ng, Fae Myenne",Paper,1994,HarperCollins
"DOC MP3, some TXT",9781403921215,Language Development and Education,Menyuk,,2005,VHPS
Master DOC; DOC,9781406509885,"Bartleby, the Scrivener","Melville, Herman",Paper,,Dodo Press
"Master DOC; PDF, TXT, Some DOC",9781412904063,Family Communication Nurturing and Control,Lepoire,1st,2006,Sage
"Master PDF; DOC unorganized, MP3 Incomplete",9781412909198,CULTURE and IDENTITY,Anita Jones Thomas,,2005,Sage Publications
Master DOC; DOC incomplete,9781412911467,INTRO TO QUALITATIVE RESEARCH(P),Flick,3,,Sage
"PDF, MP3, partial DOC",9781412926225,Special Education and the Law: A Guide for Practit,"Osborne, Allan G.",2nd,2007,"Corwin Press, Inc."
"Master DOC, PDF; DOC",9781412941068,Toolkit for organizational change,Thomas F. Cawsey,Paper,2007,Sage
Book DNE,9781413019773,Sentence-Combining Workbook,Altman & Caro,2nd,2006,Heinle
"Master PDF; (other copies of the PDF, not sure which ones are useful, but took all incase)",9781413029185,"The Wadsworth Anthology of Drama, Brief Edition","Worthen, W. B.",5th,2006,Thomson
